Attribute,Frequency,Relative Frequency,Column Name
34,198,0.14965986394557823,Age
31,61,0.04610733182161754,Age
32,56,0.042328042328042326,Age
33,56,0.042328042328042326,Age
30,53,0.0400604686318972,Age
35,49,0.037037037037037035,Age
28,47,0.03552532123960695,Age
36,44,0.03325774754346183,Age
29,42,0.031746031746031744,Age
39,38,0.02872260015117158,Age
38,37,0.027966742252456538,Age
40,36,0.027210884353741496,Age
27,36,0.027210884353741496,Age
41,35,0.026455026455026454,Age
25,35,0.026455026455026454,Age
37,34,0.025699168556311415,Age
26,32,0.02418745275888133,Age
42,32,0.02418745275888133,Age
45,28,0.021164021164021163,Age
24,26,0.019652305366591082,Age
43,25,0.01889644746787604,Age
46,24,0.018140589569160998,Age
22,24,0.018140589569160998,Age
50,24,0.018140589569160998,Age
47,22,0.016628873771730914,Age
21,22,0.016628873771730914,Age
44,21,0.015873015873015872,Age
52,18,0.013605442176870748,Age
48,15,0.011337868480725623,Age
55,14,0.010582010582010581,Age
53,13,0.009826152683295541,Age
51,13,0.009826152683295541,Age
49,13,0.009826152683295541,Age
23,12,0.009070294784580499,Age
56,12,0.009070294784580499,Age
19,10,0.007558578987150416,Age
20,10,0.007558578987150416,Age
54,9,0.006802721088435374,Age
18,7,0.005291005291005291,Age
59,7,0.005291005291005291,Age
60,6,0.0045351473922902496,Age
57,5,0.003779289493575208,Age
63,4,0.0030234315948601664,Age
62,3,0.0022675736961451248,Age
16,3,0.0022675736961451248,Age
58,3,0.0022675736961451248,Age
64,2,0.0015117157974300832,Age
61,2,0.0015117157974300832,Age
66,2,0.0015117157974300832,Age
65,1,0.0007558578987150416,Age
14,1,0.0007558578987150416,Age
17,1,0.0007558578987150416,Age
785,134,0.10128495842781557,DailyRate
1130,5,0.003779289493575208,DailyRate
710,5,0.003779289493575208,DailyRate
1017,4,0.0030234315948601664,DailyRate
425,4,0.0030234315948601664,DailyRate
914,4,0.0030234315948601664,DailyRate
937,4,0.0030234315948601664,DailyRate
987,4,0.0030234315948601664,DailyRate
584,4,0.0030234315948601664,DailyRate
1051,4,0.0030234315948601664,DailyRate
416,4,0.0030234315948601664,DailyRate
203,4,0.0030234315948601664,DailyRate
451,4,0.0030234315948601664,DailyRate
321,3,0.0022675736961451248,DailyRate
503,3,0.0022675736961451248,DailyRate
396,3,0.0022675736961451248,DailyRate
697,3,0.0022675736961451248,DailyRate
623,3,0.0022675736961451248,DailyRate
1054,3,0.0022675736961451248,DailyRate
